STT,Role,Normalized Role,Email,Full Name,Shared Password (Mailpit),Created At,User ID
1,candidate,candidate,candidate01@gmail.test,Phạm Duy,TalentFlowTest#2026,,e452fd84-0b39-4397-9539-6e84936fabac
2,candidate,candidate,candidate02@gmail.test,Lê Châu,TalentFlowTest#2026,,d1dca51e-89a9-4643-a2ec-d61e74e1e493
3,candidate,candidate,candidate03@gmail.test,Trần Bảo,TalentFlowTest#2026,,fbdfb69a-a272-4c8c-8419-4950baf6804c
4,candidate,candidate,candidate04@gmail.test,Nguyễn Mỹ,TalentFlowTest#2026,,a4f8590f-9b6b-4803-9687-e1bc43ae5bfd
5,candidate,candidate,candidate05@gmail.test,Cao Nam,TalentFlowTest#2026,,4c6f01c6-516b-4e4b-bd48-5e5c0916d250
6,candidate,candidate,candidate06@gmail.test,Lam Quỳnh,TalentFlowTest#2026,,f6b0c928-f309-4ef3-98c2-a8fff563b9d2
7,candidate,candidate,candidate07@gmail.test,Mai Vy,TalentFlowTest#2026,,e3dd5b2a-0ff8-4158-ac35-4f1c9641b2b9
8,candidate,candidate,candidate08@gmail.test,Trương Huy,TalentFlowTest#2026,,e3b17f45-1f7e-42ca-8a35-b1ee907a3515
9,candidate,candidate,candidate09@gmail.test,Đinh Ngọc,TalentFlowTest#2026,,e290d50c-a5cf-4fc8-b4cd-4f9ee43820d9
10,candidate,candidate,candidate10@gmail.test,Mai Thảo,TalentFlowTest#2026,,1e582997-28f1-4e6b-929f-b29846dd07f2
11,candidate,candidate,candidate11@gmail.test,Trương Hà,TalentFlowTest#2026,,11be963f-a140-4efe-b8c0-8050358b8241
12,candidate,candidate,candidate12@gmail.test,Đinh Duy,TalentFlowTest#2026,,2a21319f-68e1-4ae2-ad61-6d0fd79a97ad
13,candidate,candidate,candidate13@gmail.test,Lý Châu,TalentFlowTest#2026,,5c4d67f5-5a97-4e3e-95cc-23c41f6d96e2
14,candidate,candidate,candidate14@gmail.test,Dương Bảo,TalentFlowTest#2026,,56319854-7208-4de2-8048-ddc6f3162aaa
15,candidate,candidate,candidate15@gmail.test,Ngô Mỹ,TalentFlowTest#2026,,85c198db-c654-4a8c-8ceb-c9d8ea6cac4f
16,candidate,candidate,candidate16@gmail.test,Hồ Nam,TalentFlowTest#2026,,131f63de-0410-4646-abeb-a0f4fbfcc922
17,candidate,candidate,candidate17@gmail.test,Đỗ Quỳnh,TalentFlowTest#2026,,66415913-0b1c-474b-8fd2-2c1ad9155d15
18,candidate,candidate,candidate18@gmail.test,Bùi Vy,TalentFlowTest#2026,,0bfc59ff-8f66-4f3b-845a-77efcce7ea62
19,candidate,candidate,candidate19@gmail.test,Đặng Huy,TalentFlowTest#2026,,780f0f11-7612-4371-97b6-b68d6a99f6b4
20,candidate,candidate,candidate20@gmail.test,Đỗ Long,TalentFlowTest#2026,,93edb486-63ec-418c-9df4-700b57fd529e
21,candidate,candidate,candidate21@gmail.test,Bùi Thảo,TalentFlowTest#2026,,178fb060-0258-4130-8003-71d9ae7356b5
22,candidate,candidate,candidate22@gmail.test,Đặng Hà,TalentFlowTest#2026,,6c2cb8c5-87e1-4da8-bbd9-1a6d6c0038fb
23,candidate,candidate,candidate23@gmail.test,Võ Duy,TalentFlowTest#2026,,212fba67-85a6-45da-a317-5c8fbea8a90a
24,candidate,candidate,candidate24@gmail.test,Vũ Châu,TalentFlowTest#2026,,dbfc8f84-ef75-4367-aa4e-618aabc78c8d
25,candidate,candidate,candidate25@gmail.test,Phan Bảo,TalentFlowTest#2026,,fd0a0af3-1504-4837-8918-a893c76e2a1c
26,candidate,candidate,candidate26@gmail.test,Hoàng Mỹ,TalentFlowTest#2026,,5945303e-5123-4171-bef2-ddb02840ebad
27,candidate,candidate,candidate27@gmail.test,Phạm Nam,TalentFlowTest#2026,,7e16e2ed-d93c-4dd7-9698-1d94a72fb255
28,candidate,candidate,candidate28@gmail.test,Lê Quỳnh,TalentFlowTest#2026,,66b1d936-d404-4481-97fd-9b373ac2ff04
29,candidate,candidate,candidate29@gmail.test,Trần Vy,TalentFlowTest#2026,,4c592ff6-5353-49af-be71-63bebd4b6243
30,candidate,candidate,candidate30@gmail.test,Phạm Yến,TalentFlowTest#2026,,3ed51033-3108-4e29-8909-309f8df49c28
31,candidate,candidate,candidate31@gmail.test,Lê Long,TalentFlowTest#2026,,76f9e4af-5803-4144-99a1-2e7679b0c28f
32,candidate,candidate,candidate32@gmail.test,Trần Thảo,TalentFlowTest#2026,,f34502a8-742c-487e-832f-a6565318c8e7
33,candidate,candidate,candidate33@gmail.test,Nguyễn Hà,TalentFlowTest#2026,,adae8511-2786-464d-aaf9-da0fad792536
34,candidate,candidate,candidate34@gmail.test,Cao Duy,TalentFlowTest#2026,,73c3d46b-dd17-4c48-a469-bbd9435f8c0c
35,candidate,candidate,candidate35@gmail.test,Lam Châu,TalentFlowTest#2026,,dc7098b4-767a-4d1f-8ddd-0c88811fa7d6
36,candidate,candidate,candidate36@gmail.test,Mai Bảo,TalentFlowTest#2026,,5a2f08db-e8ed-43e8-a00e-49f3e809b7f2
37,candidate,candidate,candidate37@gmail.test,Trương Mỹ,TalentFlowTest#2026,,056ab6f7-27e5-416f-a4f7-3d3af0709136
38,candidate,candidate,candidate38@gmail.test,Đinh Nam,TalentFlowTest#2026,,74eb902d-2ec5-492c-88f8-c7bb13865795
